year,city,brand,flavour,sales_quant,price,sales_value
2020,BIRMINGHAM,D,ORANGE,1787,3,5361
2022,NEWCASTLE,D,LEMON,1737,2.9,5037.3
2021,LONDON,F,ORANGE,1991,2.9,5773.9
2020,MANCHESTER,B,APPLE,1858,3.2,5945.6
2022,NEWCASTLE,C,GRAPE,1358,3.2,4345.6
2022,NOTTINGHAM,B,STRAWBERRY,1247,3,3741
2020,LEEDS,F,BERRY,1575,,0
2020,BIRMINGHAM,D,STRAWBERRY,1955,3.2,6256
2022,BIRMINGHAM,E,STRAWBERRY,1020,3,3060
2020,SHEFFIELD,E,GRAPE,1247,3.1,3865.7
2020,MANCHESTER,F,APPLE,1470,3,4410
2020,LEICESTER,A,APPLE,1368,3.1,4240.8
2022,LEICESTER,A,GRAPE,1912,3.1,5927.2
2022,LEICESTER,F,LEMON,1046,3,3138
2020,LONDON,F,GRAPE,1813,2.9,5257.7
2021,MANCHESTER,B,LEMON,1445,3.2,4624
2022,LONDON,C,APPLE,1884,2.9,5463.6
2020,LIVERPOOL,A,APPLE,1280,3.2,4096
2020,LEICESTER,C,ORANGE,1660,3.1,5146
2021,MANCHESTER,E,APPLE,1225,3.2,3920
2022,LONDON,A,LEMON,1684,3,5052
2022,NOTTINGHAM,B,STRAWBERRY,1090,3,3270
2020,NOTTINGHAM,C,BERRY,1158,3,3474
2021,NEWCASTLE,A,LEMON,1541,3.1,4777.1
2020,LONDON,C,BERRY,1998,2.9,5794.2
2022,LONDON,B,APPLE,1933,3.2,6185.6
2020,MANCHESTER,E,LEMON,1407,3,4221
2020,BIRMINGHAM,B,ORANGE,1152,3.1,3571.2
2021,LIVERPOOL,B,APPLE,1706,3.1,5288.6
2021,MANCHESTER,E,APPLE,1027,3.2,3286.4
2020,NOTTINGHAM,D,APPLE,1165,3.2,3728
2022,LIVERPOOL,B,STRAWBERRY,1765,2.9,5118.5
2020,MANCHESTER,B,ORANGE,1420,2.9,4118
2021,LONDON,B,APPLE,1914,3.1,5933.4
2021,MANCHESTER,C,LEMON,1955,2.9,5669.5
2022,NOTTINGHAM,D,GRAPE,1059,3,3177
2020,,E,ORANGE,1869,3.2,5980.8
2020,LEEDS,B,ORANGE,1090,3,3270
2021,LONDON,F,APPLE,1803,3.1,5589.3
2021,BIRMINGHAM,B,APPLE,1849,2.9,5362.1
2020,LIVERPOOL,D,STRAWBERRY,1320,3,3960
2020,LIVERPOOL,C,APPLE,1912,3.1,5927.2
2022,LIVERPOOL,D,APPLE,1373,3.1,4256.3
2021,LEEDS,D,APPLE,1807,3.2,5782.4
2020,BIRMINGHAM,D,GRAPE,1894,2.9,5492.6
2022,SHEFFIELD,E,STRAWBERRY,1760,,0
2022,SHEFFIELD,F,BERRY,1646,2.9,4773.4
2022,LEICESTER,D,APPLE,1197,3.1,3710.7
2022,LONDON,D,LEMON,1702,3.2,5446.4
2020,MANCHESTER,B,APPLE,1956,3,5868
2022,LEEDS,C,STRAWBERRY,1465,3,4395
2021,LEEDS,B,GRAPE,1892,3.1,5865.2
2022,LONDON,B,LEMON,1016,3.1,3149.6
2022,MANCHESTER,E,STRAWBERRY,1207,3.2,3862.4
2021,LEEDS,A,STRAWBERRY,1553,3.2,4969.6
2021,BIRMINGHAM,C,STRAWBERRY,1804,3.1,5592.4
2022,LIVERPOOL,C,ORANGE,1288,2.9,3735.2
2022,SHEFFIELD,A,APPLE,1113,3.2,3561.6
2020,SHEFFIELD,F,APPLE,1268,3.1,3930.8
2020,BIRMINGHAM,D,BERRY,1134,3.1,3515.4
2020,LEEDS,D,APPLE,1897,3,5691
2020,MANCHESTER,F,LEMON,1776,3,5328
2022,MANCHESTER,E,APPLE,1637,2.9,4747.3
2021,NEWCASTLE,F,GRAPE,1685,3,5055
2020,MANCHESTER,A,APPLE,1622,3.1,5028.2
2022,MANCHESTER,F,ORANGE,1886,3.2,6035.2
2020,LONDON,B,BERRY,1470,2.9,4263
2020,NEWCASTLE,F,STRAWBERRY,1742,2.9,5051.8
2022,LONDON,C,BERRY,1792,3.1,5555.2
2020,LEEDS,F,BERRY,1503,3.1,4659.3
2022,LONDON,A,GRAPE,1719,2.9,4985.1
2021,,C,APPLE,1205,3,3615
2022,NEWCASTLE,D,GRAPE,1033,2.9,2995.7
2021,BIRMINGHAM,B,ORANGE,1413,3.2,4521.6
2021,BIRMINGHAM,F,GRAPE,1308,2.9,3793.2
2021,NOTTINGHAM,D,GRAPE,1810,3,5430
2021,LIVERPOOL,E,APPLE,1128,3.2,3609.6
2021,NOTTINGHAM,B,GRAPE,1587,3.1,4919.7
2020,NEWCASTLE,D,BERRY,1046,3.1,3242.6
2021,NOTTINGHAM,D,STRAWBERRY,1712,2.9,4964.8
2020,NEWCASTLE,D,LEMON,1615,3.1,5006.5
2020,LONDON,A,BERRY,1143,3,3429
2022,SHEFFIELD,F,ORANGE,1923,3,5769
2021,NEWCASTLE,A,APPLE,1680,3,5040
2022,BIRMINGHAM,F,BERRY,1794,3.1,5561.4
2021,SHEFFIELD,B,APPLE,1766,3.1,5474.6
2021,BIRMINGHAM,E,ORANGE,1305,3.1,4045.5
2022,LONDON,E,LEMON,1262,3.2,4038.4
2020,LEICESTER,F,ORANGE,1547,3,4641
2022,LEICESTER,F,APPLE,1547,3,4641
2021,SHEFFIELD,F,ORANGE,1479,2.9,4289.1
2021,LIVERPOOL,E,LEMON,1237,2.9,3587.3
2020,MANCHESTER,F,LEMON,1256,3,3768
2021,LEEDS,A,BERRY,1971,3.1,6110.1
2022,LEICESTER,A,ORANGE,1494,3,4482
2022,LONDON,D,ORANGE,1808,3,5424
2020,LEEDS,A,BERRY,1260,3.1,3906
2020,SHEFFIELD,F,LEMON,1242,2.9,3601.8
2020,LIVERPOOL,F,STRAWBERRY,1698,2.9,4924.2
2022,NOTTINGHAM,E,GRAPE,1488,2.9,4315.2
2020,LEICESTER,D,GRAPE,1426,2.9,4135.4
2022,SHEFFIELD,B,GRAPE,1088,3,3264
2022,NEWCASTLE,E,ORANGE,1793,3.2,5737.6
2022,NEWCASTLE,D,STRAWBERRY,1813,3,5439
2022,BIRMINGHAM,D,STRAWBERRY,1844,3.2,5900.8
2022,LONDON,C,LEMON,1146,3.1,3552.6
2021,LIVERPOOL,B,BERRY,1815,3.1,5626.5
2022,NEWCASTLE,B,GRAPE,1604,3.1,4972.4
2022,BIRMINGHAM,A,LEMON,1235,3,3705
2022,BIRMINGHAM,D,STRAWBERRY,1308,,0
2022,NOTTINGHAM,D,STRAWBERRY,1899,3,5697
2020,NOTTINGHAM,F,ORANGE,1189,3.1,3685.9
2022,BIRMINGHAM,F,STRAWBERRY,1249,3,3747
2020,LEEDS,E,LEMON,1980,2.9,5742
2020,LEICESTER,B,STRAWBERRY,1277,3,3831
2021,BIRMINGHAM,D,ORANGE,1884,3.1,5840.4
2020,SHEFFIELD,A,ORANGE,1385,3.2,4432
2022,MANCHESTER,D,APPLE,1953,3,5859
2022,LEICESTER,F,APPLE,1328,3.2,4249.6
2021,NEWCASTLE,B,GRAPE,1319,3.2,4220.8
2020,MANCHESTER,D,APPLE,1000,3,3000
2022,LONDON,E,ORANGE,1194,3,3582
2022,LEEDS,C,BERRY,1342,2.9,3891.8
2022,NOTTINGHAM,C,LEMON,1705,3.1,5285.5
2022,BIRMINGHAM,C,GRAPE,1203,3.1,3729.3
2021,LIVERPOOL,C,APPLE,1028,2.9,2981.2
2020,LEEDS,F,ORANGE,1016,2.9,2946.4
2021,LONDON,E,GRAPE,1689,3,5067
2022,LEICESTER,E,STRAWBERRY,1106,3.2,3539.2
2020,LONDON,C,STRAWBERRY,1231,3.2,3939.2
2020,LONDON,B,LEMON,1444,3.2,4620.8
2021,,F,ORANGE,1016,3.55,3606.8
2022,MANCHESTER,B,STRAWBERRY,1220,3,3660
2021,LONDON,B,ORANGE,1675,2.9,4857.5
2020,NOTTINGHAM,E,APPLE,1771,3.2,5667.2
2022,NOTTINGHAM,E,STRAWBERRY,1710,2.9,4959
2022,BIRMINGHAM,C,LEMON,1868,3.1,5790.8
2022,LONDON,D,LEMON,1651,3.1,5118.1
2022,LEICESTER,F,GRAPE,1420,3.2,4544
2022,SHEFFIELD,C,BERRY,1606,3.1,4978.6
2020,LONDON,A,APPLE,1395,3.1,4324.5
2022,LEEDS,D,STRAWBERRY,1099,2.9,3187.1
2022,MANCHESTER,E,APPLE,1253,3.2,4009.6
2021,LIVERPOOL,C,BERRY,1419,2.9,4115.1
2022,LEEDS,E,ORANGE,1149,3.2,3676.8
2022,NOTTINGHAM,D,GRAPE,1955,3.1,6060.5
2022,BIRMINGHAM,E,STRAWBERRY,1183,2.9,3430.7
2020,SHEFFIELD,A,LEMON,1503,3.2,4809.6
2021,LEEDS,D,APPLE,1465,2.9,4248.5
2022,LEEDS,F,GRAPE,1830,,0
2020,NEWCASTLE,A,ORANGE,1253,3.1,3884.3
2020,NEWCASTLE,C,GRAPE,1484,3,4452
2022,NOTTINGHAM,A,ORANGE,1662,3,4986
2022,LEICESTER,E,APPLE,1017,2.9,2949.3
2021,NOTTINGHAM,C,LEMON,1345,2.9,3900.5
2021,MANCHESTER,F,STRAWBERRY,1284,3.2,4108.8
2021,SHEFFIELD,F,ORANGE,1126,3.2,3603.2
2021,LIVERPOOL,C,STRAWBERRY,1600,3.2,5120
2022,NOTTINGHAM,E,GRAPE,1863,2.9,5402.7
2022,BIRMINGHAM,C,STRAWBERRY,1407,3.1,4361.7
2021,LEICESTER,D,ORANGE,1785,3.1,5533.5
2020,NEWCASTLE,F,ORANGE,1431,3.1,4436.1
2021,BIRMINGHAM,A,APPLE,1408,3.1,4364.8
2022,SHEFFIELD,D,LEMON,1128,3.2,3609.6
2021,SHEFFIELD,F,LEMON,1190,3.1,3689
2021,SHEFFIELD,E,BERRY,1544,3.2,4940.8
2021,BIRMINGHAM,B,BERRY,1479,3,4437
2021,MANCHESTER,E,LEMON,1700,2.9,4930
2022,MANCHESTER,B,GRAPE,1469,3,4407
2021,SHEFFIELD,F,ORANGE,1389,2.9,4028.1
2022,SHEFFIELD,B,GRAPE,1894,2.9,5492.6
2022,NOTTINGHAM,D,BERRY,1968,2.9,5707.2
2021,,F,APPLE,1718,2.9,4982.2
2021,LIVERPOOL,A,ORANGE,1887,3.1,5849.7
2022,SHEFFIELD,A,ORANGE,1432,3.1,4439.2
2022,BIRMINGHAM,B,GRAPE,1137,3.2,3638.4
2022,LONDON,D,LEMON,1841,3.2,5891.2
2020,MANCHESTER,A,BERRY,1902,3.1,5896.2
2022,LEICESTER,A,LEMON,1806,3,5418
2020,LEEDS,F,BERRY,1334,3.2,4268.8
2021,NOTTINGHAM,C,BERRY,1361,2.9,3946.9
2022,LEEDS,E,BERRY,1722,3.2,5510.4
2021,MANCHESTER,E,BERRY,1696,3.2,5427.2
2021,MANCHESTER,F,APPLE,1563,2.9,4532.7
2020,NOTTINGHAM,F,ORANGE,1742,3,5226
2022,LEICESTER,C,BERRY,1194,3.1,3701.4
2021,NOTTINGHAM,F,APPLE,1857,3.2,5942.4
2020,NOTTINGHAM,D,GRAPE,1341,2.9,3888.9
2020,BIRMINGHAM,E,STRAWBERRY,1852,3.2,5926.4
2022,BIRMINGHAM,F,BERRY,1509,3.2,4828.8
2020,LIVERPOOL,A,STRAWBERRY,1449,3.1,4491.9
2020,NEWCASTLE,B,LEMON,1602,3.1,4966.2
2020,LEICESTER,A,ORANGE,1633,2.9,4735.7
2021,LEEDS,C,ORANGE,1751,3.1,5428.1
2020,NEWCASTLE,C,APPLE,1323,3.2,4233.6
2021,LONDON,A,GRAPE,1598,3.2,5113.6
2021,LIVERPOOL,C,ORANGE,1300,3.1,4030
2020,LEICESTER,C,GRAPE,1583,3.1,4907.3
2022,LEEDS,D,APPLE,1288,,0
2021,NEWCASTLE,A,APPLE,1372,3.2,4390.4
2021,SHEFFIELD,E,GRAPE,1018,2.9,2952.2
2020,NEWCASTLE,D,APPLE,1911,3.2,6115.2
2020,LIVERPOOL,C,GRAPE,1036,3.1,3211.6
2021,BIRMINGHAM,C,STRAWBERRY,1032,3,3096
2020,BIRMINGHAM,B,APPLE,1745,3.1,5409.5
2021,NEWCASTLE,B,APPLE,1169,3,3507
2022,LONDON,A,GRAPE,1259,3,3777
2020,NEWCASTLE,C,GRAPE,1601,3.1,4963.1
2020,NOTTINGHAM,A,GRAPE,1846,3.1,5722.6
2021,LIVERPOOL,A,STRAWBERRY,1623,2.9,4706.7
2020,NEWCASTLE,A,BERRY,1290,3.1,3999
2020,LEEDS,E,LEMON,1071,3.2,3427.2
2020,NEWCASTLE,C,STRAWBERRY,1033,3,3099
2022,LEICESTER,E,STRAWBERRY,1527,3.2,4886.4
2022,LIVERPOOL,E,STRAWBERRY,1026,2.9,2975.4
2020,BIRMINGHAM,C,LEMON,1379,3,4137
2020,BIRMINGHAM,B,STRAWBERRY,1477,3.2,4726.4
2021,NOTTINGHAM,B,BERRY,1510,2.9,4379
2020,LIVERPOOL,E,GRAPE,1054,3,3162
2022,LIVERPOOL,C,GRAPE,1619,3.2,5180.8
2022,BIRMINGHAM,C,STRAWBERRY,1671,3,5013
2021,LEICESTER,D,LEMON,1534,3,4602
2022,NEWCASTLE,A,LEMON,1231,3.2,3939.2
2020,LONDON,C,ORANGE,1167,2.9,3384.3
2022,LONDON,D,ORANGE,1682,3,5046
2022,NOTTINGHAM,C,ORANGE,1869,3.1,5793.9
2022,LEEDS,F,ORANGE,1672,3.1,5183.2
2022,LEEDS,C,STRAWBERRY,1542,2.9,4471.8
2021,LEICESTER,A,LEMON,1415,2.9,4103.5
2021,NOTTINGHAM,F,APPLE,1860,3.2,5952
2020,LIVERPOOL,D,APPLE,1325,3.2,4240
2020,BIRMINGHAM,A,APPLE,1899,3,5697
2021,SHEFFIELD,A,BERRY,1043,2.9,3024.7
2021,MANCHESTER,F,STRAWBERRY,1185,3.1,3673.5
2020,NEWCASTLE,E,BERRY,1172,3.1,3633.2
2020,LEEDS,A,GRAPE,1163,3.1,3605.3
2020,LIVERPOOL,F,ORANGE,1079,3.2,3452.8
2022,LONDON,C,GRAPE,1362,2.9,3949.8
2021,,E,GRAPE,1392,3.1,4315.2
2022,BIRMINGHAM,A,GRAPE,1376,3,4128
2021,NEWCASTLE,F,GRAPE,1445,3.2,4624
2020,SHEFFIELD,C,GRAPE,1990,3,5970
2021,LEEDS,B,STRAWBERRY,1637,3,4911
2022,LEICESTER,C,GRAPE,1685,,0
2022,LIVERPOOL,A,APPLE,1093,3.1,3388.3
2022,LEEDS,F,STRAWBERRY,1582,3.1,4904.2
2021,MANCHESTER,A,LEMON,1160,3.1,3596
2020,LEEDS,A,GRAPE,1474,3.2,4716.8
2021,LIVERPOOL,B,BERRY,1207,2.9,3500.3
2020,LEICESTER,E,BERRY,1341,3.1,4157.1
2021,LEEDS,D,STRAWBERRY,1161,3.2,3715.2
2021,LEICESTER,C,ORANGE,1203,2.9,3488.7
2021,LONDON,E,BERRY,1930,3.2,6176
2022,LIVERPOOL,B,LEMON,1813,3,5439
2022,SHEFFIELD,D,LEMON,1720,3,5160
2020,LIVERPOOL,D,GRAPE,1554,3.1,4817.4
2022,SHEFFIELD,B,APPLE,1917,3.1,5942.7
2020,NEWCASTLE,F,STRAWBERRY,1232,3.2,3942.4
2020,LONDON,B,LEMON,1307,3.1,4051.7
2021,LEICESTER,D,STRAWBERRY,1909,2.9,5536.1
2022,SHEFFIELD,B,ORANGE,1979,3,5937
2022,SHEFFIELD,D,APPLE,1430,3,4290
2021,LEEDS,A,BERRY,1633,3.1,5062.3
2022,NOTTINGHAM,B,ORANGE,1561,2.9,4526.9
2020,LEEDS,A,BERRY,1410,2.9,4089
2021,LEICESTER,A,APPLE,1640,3.2,5248
2021,LEICESTER,F,BERRY,1898,2.9,5504.2
2021,LIVERPOOL,C,ORANGE,1996,3.2,6387.2
2022,LIVERPOOL,F,APPLE,1463,3,4389
2022,LIVERPOOL,C,APPLE,1435,3.1,4448.5
2020,SHEFFIELD,C,GRAPE,1322,3.2,4230.4
2021,NEWCASTLE,D,LEMON,1767,3.1,5477.7
2021,LEEDS,F,APPLE,1916,3.1,5939.6
2022,NEWCASTLE,F,STRAWBERRY,1035,3,3105
2021,SHEFFIELD,B,APPLE,1746,3,5238
2021,NEWCASTLE,A,LEMON,1769,2.9,5130.1
2021,LEICESTER,E,GRAPE,1876,2.9,5440.4
2020,MANCHESTER,A,STRAWBERRY,1706,2.9,4947.4
2021,NOTTINGHAM,F,STRAWBERRY,1987,3.1,6159.7
2021,NEWCASTLE,A,ORANGE,1328,3.1,4116.8
2021,LIVERPOOL,E,STRAWBERRY,1335,3.1,4138.5
2021,BIRMINGHAM,D,APPLE,1634,3.2,5228.8
2021,LONDON,E,BERRY,1854,3,5562
2022,SHEFFIELD,C,LEMON,1439,3.1,4460.9
2022,BIRMINGHAM,C,BERRY,1971,3,5913
2022,LEEDS,F,LEMON,1679,3.2,5372.8
2022,NOTTINGHAM,C,APPLE,1744,2.9,5057.6
2021,BIRMINGHAM,A,STRAWBERRY,1250,3,3750
2022,NEWCASTLE,B,ORANGE,1448,2.9,4199.2
2021,SHEFFIELD,B,ORANGE,1409,3,4227
2020,LIVERPOOL,A,GRAPE,1969,3.1,6103.9
2020,LEICESTER,A,ORANGE,1670,3,5010
2021,LIVERPOOL,E,APPLE,1364,,0
2021,LIVERPOOL,F,APPLE,1217,3,3651
2021,NEWCASTLE,E,LEMON,1065,2.9,3088.5
2020,BIRMINGHAM,C,BERRY,1763,2.9,5112.7
2021,BIRMINGHAM,D,APPLE,1061,3,3183
2021,NOTTINGHAM,F,GRAPE,1129,3.1,3499.9
2022,NEWCASTLE,D,STRAWBERRY,1407,3.1,4361.7
2021,BIRMINGHAM,C,BERRY,1456,3,4368
2020,LIVERPOOL,D,APPLE,1419,3.1,4398.9
2020,LEICESTER,F,APPLE,1138,3.1,3527.8
2020,MANCHESTER,F,LEMON,1705,2.9,4944.5
2020,MANCHESTER,C,STRAWBERRY,1070,3,3210
2021,,F,ORANGE,1784,2.9,5173.6
2020,LEEDS,F,ORANGE,1580,2.9,4582
2022,SHEFFIELD,B,GRAPE,1922,3.2,6150.4
2020,LIVERPOOL,D,BERRY,1934,3,5802
2022,MANCHESTER,A,ORANGE,1830,2.9,5307
2020,MANCHESTER,B,GRAPE,1824,3.1,5654.4
2021,SHEFFIELD,F,BERRY,1012,3,3036
2021,BIRMINGHAM,C,ORANGE,1509,2.9,4376.1
2020,NOTTINGHAM,F,APPLE,1324,3,3972
2022,LEEDS,A,APPLE,1873,3.1,5806.3
2020,NOTTINGHAM,F,BERRY,1743,3.1,5403.3
2021,LEEDS,C,GRAPE,1226,3,3678
2022,LIVERPOOL,A,BERRY,1826,3,5478
2020,SHEFFIELD,C,ORANGE,1243,2.9,3604.7
2021,BIRMINGHAM,A,STRAWBERRY,1522,2.9,4413.8
2021,LEEDS,F,ORANGE,1179,3,3537
2022,NOTTINGHAM,F,BERRY,1987,2.9,5762.3
2022,LONDON,F,BERRY,1815,2.9,5263.5
2020,NOTTINGHAM,C,ORANGE,1878,3,5634
2022,NOTTINGHAM,E,GRAPE,1505,2.9,4364.5
2020,LONDON,E,ORANGE,1547,3.1,4795.7
2022,LONDON,D,ORANGE,1168,3.1,3620.8
2021,SHEFFIELD,A,LEMON,1162,3.2,3718.4
2022,NEWCASTLE,E,STRAWBERRY,1344,2.9,3897.6
2022,LONDON,D,STRAWBERRY,1919,3.2,6140.8
2021,LONDON,E,GRAPE,1336,3.2,4275.2
2021,LIVERPOOL,E,STRAWBERRY,1648,2.9,4779.2
2020,LEEDS,E,LEMON,1469,2.9,4260.1
2021,LEEDS,F,GRAPE,1704,3,5112
2021,BIRMINGHAM,F,LEMON,1385,2.9,4016.5
2020,NOTTINGHAM,E,LEMON,1403,3.1,4349.3
2020,LEICESTER,D,ORANGE,1501,3.1,4653.1
2021,LEEDS,C,LEMON,1038,3,3114
2020,NOTTINGHAM,F,GRAPE,1562,3.2,4998.4
2021,LIVERPOOL,D,GRAPE,1586,3.2,5075.2
2021,MANCHESTER,D,APPLE,1411,2.9,4091.9
2020,SHEFFIELD,F,STRAWBERRY,1568,3.1,4860.8
2021,SHEFFIELD,A,ORANGE,1589,2.9,4608.1
2022,LEEDS,F,GRAPE,1131,3.1,3506.1
2022,LEEDS,A,ORANGE,1628,3,4884
2022,MANCHESTER,A,STRAWBERRY,1395,,0
2020,LEICESTER,E,ORANGE,1810,3.2,5792
2021,LIVERPOOL,C,APPLE,1679,3.1,5204.9
2022,LONDON,F,STRAWBERRY,1959,3.1,6072.9
2020,NOTTINGHAM,D,STRAWBERRY,1901,3,5703
2022,LONDON,F,STRAWBERRY,1626,2.9,4715.4
2020,SHEFFIELD,C,STRAWBERRY,1437,3.2,4598.4
2022,LEEDS,D,APPLE,1122,3.2,3590.4
2022,NOTTINGHAM,E,LEMON,1238,2.9,3590.2
2020,LEEDS,B,LEMON,1217,2.9,3529.3
2020,LEEDS,B,LEMON,1822,3,5466
2020,BIRMINGHAM,B,APPLE,1538,3.2,4921.6
2021,MANCHESTER,E,STRAWBERRY,1562,3.1,4842.2
2022,BIRMINGHAM,B,BERRY,1427,3,4281
2021,MANCHESTER,E,GRAPE,1422,3.2,4550.4
2022,SHEFFIELD,E,LEMON,1336,3.2,4275.2
2021,NOTTINGHAM,A,BERRY,1377,3.1,4268.7
2020,LEEDS,A,GRAPE,1013,2.9,2937.7
2021,LIVERPOOL,F,ORANGE,1654,2.9,4796.6
2020,,F,LEMON,1983,3.2,6345.6
2020,NEWCASTLE,A,ORANGE,1446,2.9,4193.4
2022,MANCHESTER,E,APPLE,1987,3,5961
2020,BIRMINGHAM,F,BERRY,1521,2.9,4410.9
2021,SHEFFIELD,C,APPLE,1875,3.2,6000
2020,NOTTINGHAM,F,BERRY,1069,3.1,3313.9
2020,SHEFFIELD,C,GRAPE,1537,3.1,4764.7
2020,MANCHESTER,C,STRAWBERRY,1349,3,4047
2022,BIRMINGHAM,B,BERRY,1069,2.9,3100.1
2020,LEEDS,B,APPLE,1177,3.2,3766.4
2020,LONDON,B,ORANGE,1144,3.2,3660.8
2020,SHEFFIELD,B,GRAPE,1475,3.1,4572.5
2021,LEICESTER,A,STRAWBERRY,1239,3,3717
2020,LONDON,D,APPLE,1742,3.1,5400.2
2022,SHEFFIELD,D,APPLE,1927,3,5781
2021,MANCHESTER,F,LEMON,1125,3.2,3600
2021,BIRMINGHAM,A,LEMON,1167,3.1,3617.7
2021,NEWCASTLE,C,LEMON,1778,3,5334
2021,LIVERPOOL,F,BERRY,1982,3.1,6144.2
2020,LIVERPOOL,A,ORANGE,1025,3.2,3280
2022,SHEFFIELD,B,APPLE,1792,3.1,5555.2
2020,LIVERPOOL,D,BERRY,1103,3.1,3419.3
2021,LEICESTER,E,BERRY,1435,3,4305
2022,LONDON,D,APPLE,1298,,0
2020,SHEFFIELD,E,BERRY,1494,3.1,4631.4
2022,NEWCASTLE,C,APPLE,1438,3.1,4457.8
